City,Country,Date,Cloudiness,Humidity,Lat,Lng,Max Temp,Wind Speed
Mount Isa,AU,1622171399,35,22,-20.7333,139.5,74.97,10.36
Mataura,NZ,1622171399,100,94,-46.1927,168.8643,49.48,4.16
Busselton,AU,1622171399,1,58,-33.65,115.3333,73.04,14.81
Kattivākkam,IN,1622171400,33,61,13.2167,80.3167,89.08,13.2
Parrita,CR,1622171400,100,87,9.5201,-84.3225,82.17,2.21
Punta Arenas,CL,1622171400,0,80,-53.15,-70.9167,28.51,15.93
Carnarvon,AU,1622171401,0,57,-24.8667,113.6333,82.47,11.5
Katsuura,JP,1622171401,100,70,35.1333,140.3,83.23,14.81
Solnechnyy,RU,1622171401,75,56,50.7214,136.6319,57.15,1.81
Ushuaia,AR,1622171315,100,91,-54.8,-68.3,27.66,4.25
Hirara,JP,1622171402,100,85,24.8,125.2833,83.14,21.61
Namatanai,PG,1622171403,100,88,-3.6667,152.4333,78.96,7.72
Barrow,US,1622171105,90,74,71.2906,-156.7887,32.02,14.97
Erenhot,CN,1622171404,96,19,43.6475,111.9767,61.47,11.39
Albany,US,1622171108,99,63,42.6001,-73.9662,55.67,5.1
Khatanga,RU,1622171404,93,90,71.9667,102.5,32.25,12.21
Fukuechō,JP,1622171404,100,80,32.6881,128.8419,70.16,16.49
Hualmay,PE,1622171405,55,91,-11.0964,-77.6139,65.37,5.77
Natal,BR,1622171289,40,88,-5.795,-35.2094,75.42,8.16
George Town,MY,1622171405,20,79,5.4112,100.3354,85.95,1.79
Lufilufi,WS,1622171406,61,68,-13.8745,-171.5986,89.38,5.03
Sinegor'ye,RU,1622171406,100,48,62.0788,150.477,52.59,8.16
New Norfolk,AU,1622171406,76,51,-42.7826,147.0587,50.67,1.01
Vaini,TO,1622171407,20,69,-21.2,-175.2,77.16,8.05
Kimbe,PG,1622171407,98,67,-5.5502,150.1429,84.31,10.78
Hobart,AU,1622171117,75,60,-42.8794,147.3294,50.25,1.99
Atuona,PF,1622171407,71,73,-9.8,-139.0333,78.85,13.15
Waiouru,NZ,1622171408,78,51,-39.4833,175.6667,51.53,1.61
Faya,SA,1622171408,9,23,18.3851,42.4509,63.12,4.85
Half Moon Bay,US,1622171408,90,84,37.4636,-122.4286,71.06,9.22
Cidreira,BR,1622171409,1,79,-30.1811,-50.2056,61.21,11.48
Rikitea,PF,1622171409,28,58,-23.1203,-134.9692,71.11,4.29
Strzegom,PL,1622171409,16,93,50.9626,16.3501,51.73,6.53
Yellowknife,CA,1622171373,13,45,62.456,-114.3525,55.56,10.0
Along,IN,1622171410,91,86,28.1667,94.7667,78.31,0.87
Salinópolis,BR,1622171410,98,81,-0.6136,-47.3561,78.98,8.16
Pisco,PE,1622171410,90,82,-13.7,-76.2167,67.01,2.3
Manta,EC,1622171305,75,88,-0.95,-80.7333,73.18,10.36
Arraial do Cabo,BR,1622171411,1,87,-22.9661,-42.0278,71.94,5.48
Siocon,PH,1622171411,55,67,7.7061,122.1353,87.58,3.76
Saint George,US,1622171411,1,8,37.1041,-113.5841,88.39,10.36
Lagoa,PT,1622171412,88,58,39.05,-27.9833,58.35,3.47
Novorzhev,RU,1622171412,33,98,57.0294,29.3338,47.03,3.24
Lavrentiya,RU,1622171413,6,86,65.5833,-171.0,35.08,10.76
Thompson,CA,1622171413,96,33,55.7435,-97.8558,45.07,10.18
Muisne,EC,1622171414,96,87,0.6,-80.0333,76.8,11.79
Fortuna,US,1622171414,90,65,40.5982,-124.1573,61.41,1.99
Wahiawā,US,1622171414,20,64,21.5028,-158.0236,80.92,10.36
Chui,UY,1622171415,0,90,-33.6971,-53.4616,55.04,7.96
Port Hedland,AU,1622171302,40,27,-20.3167,118.5667,87.85,18.41
Upernavik,GL,1622171415,100,74,72.7868,-56.1549,38.32,6.15
Hermanus,ZA,1622171415,75,81,-34.4187,19.2345,55.9,13.58
Matata,NZ,1622171416,87,64,-37.8833,176.75,58.14,2.84
Carrollton,US,1622171416,90,68,32.9537,-96.8903,82.69,1.01
Bredasdorp,ZA,1622171417,94,68,-34.5322,20.0403,58.06,9.06
Puerto Ayora,EC,1622171417,87,93,-0.7393,-90.3518,74.55,5.99
Cap Malheureux,MU,1622171418,8,77,-19.9842,57.6142,74.46,4.0
Bodden Town,KY,1622171419,0,67,19.2833,-81.25,81.93,8.55
Nayoro,JP,1622171419,100,95,44.3506,142.4578,51.84,2.98
Inhambane,MZ,1622171419,0,83,-23.865,35.3833,62.22,6.31
Udachny,RU,1622171419,85,50,66.4167,112.4,55.67,12.1
Marathon,US,1622171420,90,90,44.9,-89.7668,38.73,1.01
Lebu,CL,1622171420,77,82,-37.6167,-73.65,54.46,11.72
São Filipe,CV,1622171420,4,79,14.8961,-24.4956,72.43,10.67
Flinders,AU,1622171421,36,48,-34.5833,150.8552,62.2,19.15
Dikson,RU,1622171421,73,91,73.5069,80.5464,26.42,7.67
Rafai,CF,1622171421,99,98,4.95,23.9167,67.57,1.59
Kapaa,US,1622171422,20,74,22.0752,-159.319,82.38,1.99
Constantine,DZ,1622171422,41,74,36.365,6.6147,63.1,3.29
Ponta do Sol,PT,1622171422,20,78,32.6667,-17.1,65.03,3.2
Egvekinot,RU,1622171423,79,61,66.3167,-179.1667,39.29,10.09
Lorengau,PG,1622171423,80,82,-2.0226,147.2712,82.22,7.76
Zanesville,US,1622171264,1,78,39.9404,-82.0132,68.56,8.34
Qaanaaq,GL,1622171423,85,75,77.484,-69.3632,39.4,9.24
Narsaq,GL,1622171424,76,61,60.9167,-46.05,48.42,5.66
Bongandanga,CD,1622171424,100,96,1.5,21.05,71.69,2.19
Arlit,NE,1622171424,14,9,18.7369,7.3853,84.4,4.97
Clyde River,CA,1622171425,75,80,70.4692,-68.5914,28.63,3.44
Mizdah,LY,1622171425,100,25,31.4451,12.9801,75.43,5.03
Riyadh,SA,1622171301,0,13,24.6877,46.7219,84.25,6.91
Gwadar,PK,1622171426,0,70,25.1216,62.3254,86.79,9.48
Port Alfred,ZA,1622171426,14,75,-33.5906,26.891,59.16,8.28
Chokurdakh,RU,1622171426,100,54,70.6333,147.9167,46.13,11.48
Cape Town,ZA,1622171322,98,91,-33.9258,18.4232,59.88,4.0
Hilo,US,1622171138,20,72,19.7297,-155.09,80.33,9.22
Olafsvik,IS,1622171427,85,71,64.8945,-23.7142,46.9,17.72
Kahului,US,1622171239,40,67,20.8947,-156.47,82.98,18.41
Bluff,NZ,1622171427,100,81,-46.6,168.3333,49.8,6.67
San Cristobal,VE,1622171427,95,94,7.7669,-72.225,65.73,1.39
Hambantota,LK,1622171428,45,75,6.1241,81.1185,83.12,22.32
Yulara,AU,1622171428,100,38,-25.2406,130.9889,57.04,19.57
Port Macquarie,AU,1622171428,0,50,-31.4333,152.9167,65.89,16.4
San Patricio,US,1622171429,56,90,28.017,-97.5169,80.85,13.65
Ishigaki,JP,1622171429,89,88,24.3448,124.1572,83.35,23.62
Comodoro Rivadavia,AR,1622171429,75,93,-45.8667,-67.5,46.26,4.61
Saint-Philippe,RE,1622171430,24,78,-21.3585,55.7679,71.15,3.27
Bagru,IN,1622171430,10,22,26.8088,75.5423,91.74,8.28
Aleksandrovskiy Zavod,RU,1622171431,91,52,50.9237,117.9374,51.55,7.25
Olovyannaya,RU,1622171431,11,52,50.95,115.5667,57.85,10.69
Berdigestyakh,RU,1622171431,54,31,62.0989,126.6992,64.53,7.16
Bintulu,MY,1622171432,100,89,3.1667,113.0333,80.02,11.43
Niquelândia,BR,1622171432,37,59,-14.4739,-48.4597,71.37,1.81
Arman',RU,1622171432,100,84,59.7,150.1667,43.23,6.49
Airai,TL,1622171432,71,66,-8.9266,125.4092,68.25,4.74
Kuzedeyevo,RU,1622171433,83,64,53.3308,87.2019,46.81,7.83
Ucluelet,CA,1622171433,99,86,48.9329,-125.5528,55.04,7.83
Hong Kong,HK,1622171287,100,78,22.2855,114.1577,91.45,5.99
Djibouti,DJ,1622171434,70,72,11.5,42.5,81.82,7.54
Jamestown,US,1622171288,1,74,42.097,-79.2353,55.02,4.0
Butaritari,KI,1622171434,65,78,3.0707,172.7902,83.66,15.23
Iqaluit,CA,1622171205,100,80,63.7506,-68.5145,29.7,11.99
Mar del Plata,AR,1622171230,100,9,-38.0023,-57.5575,64.0,11.99
Verkh-Chebula,RU,1622171435,100,69,56.0308,87.6218,43.0,17.09
Taltal,CL,1622171435,32,91,-25.4,-70.4833,59.83,1.43
Oodweyne,SO,1622171435,100,66,9.4092,45.064,70.84,14.16
Nioro,GM,1622171436,22,56,13.35,-15.75,77.43,4.76
Hithadhoo,MV,1622171436,100,79,-0.6,73.0833,81.84,18.99
Bengkulu,ID,1622171436,77,71,-3.8004,102.2655,83.84,2.66
Ancud,CL,1622171437,100,86,-41.8697,-73.8203,50.43,20.47
Parkes,AU,1622171437,97,67,-33.1333,148.1833,50.56,11.81
Kavaratti,IN,1622171437,9,75,10.5669,72.642,83.61,17.11
Hukuntsi,BW,1622171438,0,34,-24.0,21.75,54.3,8.61
Adré,TD,1622171438,56,41,13.4667,22.2,80.01,8.99
Solano,US,1622171438,1,59,38.2333,-121.9511,80.17,23.02
Bacolod City,PH,1622171408,37,68,10.6667,122.95,87.31,5.3
Noshiro,JP,1622171439,15,68,40.2039,140.0242,61.74,4.92
Pangai,TO,1622171439,75,61,-19.8,-174.35,78.91,3.44
Nyurba,RU,1622171439,86,48,63.2842,118.3319,64.06,6.22
Inírida,CO,1622171440,60,99,3.8653,-67.9239,70.07,2.13
Smidovich,RU,1622171440,84,47,48.6,133.8167,64.0,7.27
Pascagoula,US,1622171440,1,83,30.3658,-88.5561,78.84,9.98
Neuquén,AR,1622171337,0,30,-38.9516,-68.0591,57.09,23.02
Maniitsoq,GL,1622171441,57,89,65.4167,-52.9,33.46,2.19
Hanyang,CN,1622171441,100,61,32.1371,105.5126,77.38,3.47
Norman Wells,CA,1622171441,90,61,65.282,-126.8329,46.44,2.3
Port Elizabeth,ZA,1622171442,36,72,-33.918,25.5701,57.87,7.36
Rawson,AR,1622171442,100,48,-43.3002,-65.1023,54.12,11.03
Tecpan,GT,1622171442,53,94,14.7623,-90.9947,55.36,3.6
Belmonte,BR,1622171442,3,78,-15.8631,-38.8828,73.9,7.61
Provideniya,RU,1622171443,0,61,64.3833,-173.3,46.51,17.9
Boa Vista,BR,1622171443,75,83,2.8197,-60.6733,78.78,4.61
Bambous Virieux,MU,1622171443,55,84,-20.3428,57.7575,74.21,8.61
Derzhavīnsk,KZ,1622171444,1,47,51.1,66.3167,62.38,14.03
Tottori-shi,JP,1622171182,33,52,35.5,134.2333,74.71,2.21
Severo-Kuril'sk,RU,1622171444,75,82,50.6789,156.125,40.48,9.22
Souillac,MU,1622171444,83,83,-20.5167,57.5167,74.35,6.35
Ormond Beach,US,1622171445,1,79,29.2858,-81.0559,78.26,3.0
Khorixas,NA,1622171445,0,36,-20.3667,14.9667,62.4,8.34
Loudi,CN,1622171446,63,69,27.7344,111.9944,83.07,4.12
Lafiagi,NG,1622171290,100,90,8.8667,5.4167,76.14,4.25
Jérémie,HT,1622171446,49,81,18.65,-74.1167,79.68,6.35
Laas,IT,1622171446,6,69,46.6166,10.7002,42.62,4.03
Adrar,MR,1622171447,18,21,20.5022,-10.0711,85.53,11.59
Acapulco de Juárez,MX,1622171447,100,64,16.8634,-99.8901,82.8,1.9
Yar-Sale,RU,1622171447,59,49,66.8333,70.8333,38.43,9.75
Labuhan,ID,1622171448,39,65,-6.8844,112.2051,87.03,9.55
Waingapu,ID,1622171448,99,60,-9.6567,120.2641,84.45,19.55
Sittwe,MM,1622171448,49,72,20.15,92.9,86.16,9.22
Mookane,BW,1622171449,8,35,-23.688,26.6595,53.6,2.06
Rūdsar,IR,1622171449,0,78,37.1376,50.288,68.05,3.91
Urengoy,RU,1622171449,100,52,65.9667,78.3667,35.2,16.44
Mossamedes,AO,1622171450,2,57,-15.1961,12.1522,73.65,5.12
Santa Vitória do Palmar,BR,1622171450,0,89,-33.5189,-53.3681,55.42,8.16
Liverpool,GB,1622171375,100,76,53.4106,-2.9779,53.69,2.59
Aksarka,RU,1622171450,18,50,66.5606,67.7975,37.63,2.73
Tommot,RU,1622171451,68,60,58.9564,126.2925,57.6,5.95
Avarua,CK,1622171451,75,83,-21.2078,-159.775,82.45,13.8
Ribeira Grande,PT,1622171452,100,64,38.5167,-28.7,59.38,6.15
Sibolga,ID,1622171452,98,77,1.7427,98.7792,82.26,2.04
Cabo San Lucas,MX,1622171273,100,64,22.8909,-109.9124,84.81,11.5
Ahipara,NZ,1622171453,17,73,-35.1667,173.1667,61.48,12.71
Sechura,PE,1622171453,14,79,-5.5569,-80.8222,70.18,13.0
Esperance,AU,1622171434,0,41,-33.8667,121.9,67.96,15.01
Guerrero Negro,MX,1622171453,0,80,27.9769,-114.0611,59.63,20.33
Piaçabuçu,BR,1622171454,11,75,-10.4056,-36.4344,75.09,7.74
Buraidah,SA,1622171454,87,17,26.326,43.975,86.56,7.61
Hasaki,JP,1622171454,100,65,35.7333,140.8333,83.17,3.76
Bethel,US,1622171455,1,56,41.3712,-73.414,66.04,4.61
High Level,CA,1622171455,100,54,58.5169,-117.136,57.67,4.81
Castro,BR,1622171455,59,87,-24.7911,-50.0119,58.28,2.84
Saldanha,ZA,1622171456,100,89,-33.0117,17.9442,58.62,14.92
Ron Phibun,TH,1622171456,100,86,8.1791,99.8542,87.49,6.11
Vao,NC,1622171456,85,69,-22.6667,167.4833,71.51,11.99
Vytegra,RU,1622171457,100,97,61.0064,36.4481,49.78,5.86
Haapiti,PF,1622171457,43,66,-17.5667,-149.8667,82.13,3.2
Ilhabela,BR,1622171457,7,86,-23.7781,-45.3581,67.95,5.28
